Price,Open,High,Low,Close,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Datetime,,,,,
2024-11-01 13:30:00+00:00,571.3200073242188,575.5003051757812,570.6799926757812,575.4600219726562,10853991
2024-11-01 14:30:00+00:00,575.25,575.5499877929688,572.8599853515625,575.2000122070312,6287159
2024-11-01 15:30:00+00:00,575.2000122070312,575.27001953125,573.2999877929688,573.3900146484375,2837231
2024-11-01 16:30:00+00:00,573.469970703125,574.239990234375,572.1500244140625,573.7000122070312,2631482
2024-11-01 17:30:00+00:00,573.6799926757812,573.75,571.1400146484375,571.9201049804688,3716107
2024-11-01 18:30:00+00:00,571.9199829101562,572.9400024414062,571.6201171875,571.74951171875,3821032
2024-11-01 19:30:00+00:00,571.739990234375,572.239990234375,570.6199951171875,571.02001953125,7784087
2024-11-04 14:30:00+00:00,571.1799926757812,572.5,569.27001953125,572.1099243164062,5624924
2024-11-04 15:30:00+00:00,572.0900268554688,572.219970703125,571.0203857421875,571.1099853515625,5091903
2024-11-04 16:30:00+00:00,571.1099853515625,571.1799926757812,567.8900146484375,570.010009765625,4733802
2024-11-04 17:30:00+00:00,569.97998046875,571.0900268554688,569.2324829101562,570.5499877929688,3296834
2024-11-04 18:30:00+00:00,570.469970703125,571.27001953125,570.2600708007812,570.3302001953125,2922060
2024-11-04 19:30:00+00:00,570.3200073242188,571.0700073242188,569.9400024414062,570.239990234375,3121642
2024-11-04 20:30:00+00:00,570.22998046875,570.27001953125,569.1699829101562,569.780029296875,7673360
2024-11-05 14:30:00+00:00,570.739990234375,574.780029296875,570.52001953125,574.010009765625,7820983
2024-11-05 15:30:00+00:00,574.0499877929688,575.2100219726562,573.5454711914062,574.7100219726562,5423678
2024-11-05 16:30:00+00:00,574.7100219726562,576.2100219726562,574.7100219726562,575.6699829101562,3252173
2024-11-05 17:30:00+00:00,575.6640014648438,576.4299926757812,575.330078125,575.3800048828125,3969752
2024-11-05 18:30:00+00:00,575.3200073242188,575.8699951171875,574.5999755859375,575.4299926757812,4258861
2024-11-05 19:30:00+00:00,575.4400024414062,575.8699951171875,574.7000122070312,575.6898803710938,4216684
2024-11-05 20:30:00+00:00,575.6699829101562,576.7100219726562,575.260009765625,576.6799926757812,6227081
