Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2024-11-01 13:30:00+00:00,220.97000122070312,225.33999633789062,220.27999877929688,224.07000732421875,20933780
2024-11-01 14:30:00+00:00,224.08999633789062,224.21400451660156,221.60000610351562,223.2104949951172,10239831
2024-11-01 15:30:00+00:00,223.22000122070312,223.25,221.77000427246094,222.16000366210938,6402020
2024-11-01 16:30:00+00:00,222.13999938964844,223.39990234375,222.0500030517578,223.33999633789062,3824883
2024-11-01 17:30:00+00:00,223.34019470214844,223.36000061035156,222.07000732421875,222.2449951171875,3414057
2024-11-01 18:30:00+00:00,222.24000549316406,223.0998992919922,222.13999938964844,222.3300018310547,4035303
2024-11-01 19:30:00+00:00,222.33999633789062,223.25,222.27000427246094,222.85000610351562,5287827
2024-11-04 14:30:00+00:00,221.01199340820312,222.5399932861328,219.7100067138672,221.73150634765625,9635855
2024-11-04 15:30:00+00:00,221.75,222.26499938964844,221.13009643554688,221.4801025390625,4458145
2024-11-04 16:30:00+00:00,221.48080444335938,221.57000732421875,220.41000366210938,221.11509704589844,4999217
2024-11-04 17:30:00+00:00,221.11500549316406,222.6199951171875,221.0200958251953,222.02049255371094,2890130
2024-11-04 18:30:00+00:00,222.02000427246094,222.6190948486328,221.96009826660156,222.25999450683594,2412789
2024-11-04 19:30:00+00:00,222.25,222.7899932861328,222.1999969482422,222.47999572753906,2504276
2024-11-04 20:30:00+00:00,222.5,222.55999755859375,221.52000427246094,222.1199951171875,4039677
2024-11-05 14:30:00+00:00,221.7949981689453,223.94500732421875,221.7949981689453,223.31910705566406,6371475
2024-11-05 15:30:00+00:00,223.32000732421875,223.47999572753906,221.93499755859375,222.6699981689453,4046507
2024-11-05 16:30:00+00:00,222.67999267578125,223.75,222.67999267578125,223.3800048828125,2163887
2024-11-05 17:30:00+00:00,223.39999389648438,223.77999877929688,222.6199951171875,222.6199951171875,2147843
2024-11-05 18:30:00+00:00,222.6300048828125,223.4499969482422,222.40020751953125,223.33009338378906,2141597
2024-11-05 19:30:00+00:00,223.33999633789062,223.4470977783203,222.80999755859375,223.25,1939508
2024-11-05 20:30:00+00:00,223.25,223.52999877929688,222.7100067138672,223.4499969482422,3341639
2024-11-06 14:30:00+00:00,221.21499633789062,225.88999938964844,221.19000244140625,225.65130615234375,15626726
2024-11-06 15:30:00+00:00,225.66000366210938,226.06500244140625,223.69500732421875,224.8000030517578,5934080
2024-11-06 16:30:00+00:00,224.80239868164062,225.17999267578125,223.96499633789062,224.25999450683594,4364147
2024-11-06 17:30:00+00:00,224.27000427246094,224.60000610351562,223.99000549316406,224.1876983642578,3127772
2024-11-06 18:30:00+00:00,224.18499755859375,224.3300018310547,223.7449951171875,223.85000610351562,3301101
2024-11-06 19:30:00+00:00,223.86000061035156,224.22500610351562,223.25999450683594,223.62550354003906,4460263
2024-11-06 20:30:00+00:00,223.66000366210938,223.8800048828125,222.5,222.6999969482422,5070195
2024-11-07 14:30:00+00:00,224.625,226.5500030517578,224.57000732421875,225.7335968017578,10347470
2024-11-07 15:30:00+00:00,225.75,226.4199981689453,225.35000610351562,226.30499267578125,3199921
2024-11-07 16:30:00+00:00,226.3000030517578,227.4199981689453,226.1699981689453,227.21499633789062,3447650
2024-11-07 17:30:00+00:00,227.2100067138672,227.49000549316406,226.77000427246094,227.10330200195312,2598523
2024-11-07 18:30:00+00:00,227.10000610351562,227.3800048828125,226.7449951171875,227.10000610351562,2170877
2024-11-07 19:30:00+00:00,227.11000061035156,227.75999450683594,226.85499572753906,227.52999877929688,3884098
